zone_id,week_start,flood_event_count_24m,avg_event_rainfall_mm,max_event_rainfall_mm,curfew_count_qtr,avg_curfew_hours,power_outage_count_month,avg_power_outage_hours,traffic_disruption_hours_week,disruption_days_month,proximity_river_km,coastal_exposure_index,elevation_m,adjacent_zone_risk_prev_week,month_sin,month_cos,geo_risk_index,risk_score_0_100,risk_bin
zone_1,2024-03-02,1,154.472,175.495,0,3.079,4,3.406,8.812,8,8.459,0.495,215.356,24.709,1.0,6.123233995736766e-17,0.19920278909074227,98.0,high
zone_1,2024-03-09,3,165.645,180.198,0,2.565,1,5.356,9.64,5,8.459,0.495,215.356,39.267,1.0,6.123233995736766e-17,0.19920278909074227,98.0,high
zone_1,2024-03-16,0,173.654,202.685,0,1.376,4,2.268,10.598,6,8.459,0.495,215.356,49.386,1.0,6.123233995736766e-17,0.19920278909074227,98.0,high
zone_1,2024-03-23,1,176.208,197.997,1,0.743,3,4.644,8.951,8,8.459,0.495,215.356,59.546,1.0,6.123233995736766e-17,0.19920278909074227,98.0,high
zone_1,2024-03-30,2,164.145,185.447,0,1.738,1,1.597,8.55,4,8.459,0.495,215.356,63.871,1.0,6.123233995736766e-17,0.19920278909074227,98.0,high
zone_1,2024-04-06,3,159.678,185.202,1,1.837,0,1.685,10.746,5,8.459,0.495,215.356,71.691,0.8660254037844387,-0.4999999999999998,0.19920278909074227,98.0,high
zone_1,2024-04-13,2,163.061,186.634,0,0.513,0,1.545,8.52,7,8.459,0.495,215.356,76.978,0.8660254037844387,-0.4999999999999998,0.19920278909074227,98.0,high
zone_1,2024-04-20,3,154.472,184.866,0,1.861,1,3.478,10.372,5,8.459,0.495,215.356,79.372,0.8660254037844387,-0.4999999999999998,0.19920278909074227,98.0,high
zone_1,2024-04-27,2,158.975,174.739,0,1.177,1,4.495,11.268,7,8.459,0.495,215.356,80.205,0.8660254037844387,-0.4999999999999998,0.19920278909074227,98.0,high
zone_1,2024-05-04,2,121.122,136.004,0,1.978,3,5.196,13.746,6,8.459,0.495,215.356,86.691,0.49999999999999994,-0.8660254037844387,0.19920278909074227,98.0,high
zone_1,2024-05-11,1,111.689,133.831,0,2.059,2,1.861,6.863,5,8.459,0.495,215.356,86.973,0.49999999999999994,-0.8660254037844387,0.19920278909074227,98.0,high
zone_1,2024-05-18,0,150.689,171.731,1,1.235,3,2.007,10.772,6,8.459,0.495,215.356,89.071,0.49999999999999994,-0.8660254037844387,0.19920278909074227,98.0,high
zone_1,2024-05-25,0,132.602,147.364,0,0.974,6,3.241,8.759,8,8.459,0.495,215.356,90.544,0.49999999999999994,-0.8660254037844387,0.19920278909074227,98.0,high
zone_1,2024-06-01,1,113.883,135.349,0,3.924,0,2.578,10.692,3,8.459,0.495,215.356,92.892,1.2246467991473532e-16,-1.0,0.19920278909074227,98.0,high
zone_1,2024-06-08,1,104.959,121.802,0,3.607,0,3.708,5.425,5,8.459,0.495,215.356,92.125,1.2246467991473532e-16,-1.0,0.19920278909074227,98.0,high
zone_1,2024-06-15,3,86.338,99.312,0,2.689,1,4.103,9.307,8,8.459,0.495,215.356,91.613,1.2246467991473532e-16,-1.0,0.19920278909074227,98.0,high
zone_1,2024-06-22,1,91.566,109.776,0,2.29,4,1.39,7.614,6,8.459,0.495,215.356,92.582,1.2246467991473532e-16,-1.0,0.19920278909074227,98.0,high
zone_1,2024-06-29,0,91.235,106.002,0,1.138,3,4.236,8.359,1,8.459,0.495,215.356,96.077,1.2246467991473532e-16,-1.0,0.19920278909074227,93.14162898740538,high
zone_1,2024-07-06,2,85.334,95.035,0,1.832,0,4.902,6.145,4,8.459,0.495,215.356,92.556,-0.4999999999999997,-0.8660254037844388,0.19920278909074227,98.0,high
zone_1,2024-07-13,0,68.389,85.38,0,1.962,0,3.255,6.792,5,8.459,0.495,215.356,95.199,-0.4999999999999997,-0.8660254037844388,0.19920278909074227,91.17551087398482,high
zone_1,2024-07-20,1,65.596,88.41,1,2.103,1,3.424,6.48,2,8.459,0.495,215.356,96.42,-0.4999999999999997,-0.8660254037844388,0.19920278909074227,85.66515271410488,high
zone_1,2024-07-27,0,66.669,90.51,3,2.464,2,2.723,7.854,7,8.459,0.495,215.356,96.651,-0.4999999999999997,-0.8660254037844388,0.19920278909074227,98.0,high
zone_1,2024-08-03,0,36.429,57.841,0,0.443,1,1.313,8.28,3,8.459,0.495,215.356,91.788,-0.8660254037844385,-0.5000000000000004,0.19920278909074227,80.42839173269162,high
zone_1,2024-08-10,2,28.269,45.593,0,2.639,3,3.073,5.938,6,8.459,0.495,215.356,89.393,-0.8660254037844385,-0.5000000000000004,0.19920278909074227,85.73953468424679,high
zone_1,2024-08-17,1,46.621,65.096,1,0.628,0,1.711,6.207,7,8.459,0.495,215.356,86.306,-0.8660254037844385,-0.5000000000000004,0.19920278909074227,89.83351271404031,high
zone_1,2024-08-24,0,31.808,43.699,0,1.529,1,4.271,7.898,0,8.459,0.495,215.356,88.286,-0.8660254037844385,-0.5000000000000004,0.19920278909074227,68.40076868001815,high
zone_1,2024-08-31,0,39.518,62.829,0,1.609,0,1.26,9.198,5,8.459,0.495,215.356,84.918,-0.8660254037844385,-0.5000000000000004,0.19920278909074227,88.34971240895533,high
zone_1,2024-09-07,0,23.848,50.358,2,1.337,1,3.422,8.25,2,8.459,0.495,215.356,87.298,-1.0,-1.8369701987210297e-16,0.19920278909074227,72.4877411320683,high
zone_1,2024-09-14,2,44.372,58.424,0,3.529,2,5.56,6.442,0,8.459,0.495,215.356,84.086,-1.0,-1.8369701987210297e-16,0.19920278909074227,74.54824361180717,high
zone_1,2024-09-21,0,24.981,45.844,1,0.599,1,3.577,7.164,1,8.459,0.495,215.356,85.387,-1.0,-1.8369701987210297e-16,0.19920278909074227,65.57873187732343,medium
zone_1,2024-09-28,1,30.101,46.327,1,2.338,0,3.252,7.545,3,8.459,0.495,215.356,76.805,-1.0,-1.8369701987210297e-16,0.19920278909074227,76.07919568303512,high
zone_1,2024-10-05,1,40.765,67.33,0,2.082,0,0.808,5.04,1,8.459,0.495,215.356,76.3,-0.8660254037844386,0.5000000000000001,0.19920278909074227,64.51272017670115,medium
zone_1,2024-10-12,2,32.015,58.011,1,1.431,0,2.892,9.015,4,8.459,0.495,215.356,69.276,-0.8660254037844386,0.5000000000000001,0.19920278909074227,87.13248961879566,high
zone_1,2024-10-19,0,32.854,41.009,0,3.004,2,1.855,7.697,4,8.459,0.495,215.356,71.172,-0.8660254037844386,0.5000000000000001,0.19920278909074227,74.27640712962055,high
zone_1,2024-10-26,0,48.081,63.241,1,2.628,2,4.453,6.47,1,8.459,0.495,215.356,68.131,-0.8660254037844386,0.5000000000000001,0.19920278909074227,65.34666555311448,medium
zone_1,2024-11-02,0,60.727,89.644,0,2.549,1,3.076,7.865,7,8.459,0.495,215.356,69.709,-0.5000000000000004,0.8660254037844384,0.19920278909074227,91.25964109277008,high
zone_1,2024-11-09,0,67.372,87.166,0,0.61,1,2.495,7.185,8,8.459,0.495,215.356,72.328,-0.5000000000000004,0.8660254037844384,0.19920278909074227,94.2668173545336,high
zone_1,2024-11-16,1,54.421,77.203,0,2.819,2,3.007,11.522,5,8.459,0.495,215.356,78.927,-0.5000000000000004,0.8660254037844384,0.19920278909074227,98.0,high
zone_1,2024-11-23,1,64.957,89.603,1,1.348,1,3.732,9.253,5,8.459,0.495,215.356,85.608,-0.5000000000000004,0.8660254037844384,0.19920278909074227,98.0,high
zone_1,2024-11-30,0,68.581,86.112,1,0.209,2,2.209,5.371,0,8.459,0.495,215.356,87.514,-0.5000000000000004,0.8660254037844384,0.19920278909074227,70.16131320822112,high
zone_1,2024-12-07,1,122.73,146.209,1,2.299,0,3.87,9.017,6,8.459,0.495,215.356,82.957,-2.4492935982947064e-16,1.0,0.19920278909074227,98.0,high
zone_1,2024-12-14,3,107.504,140.535,0,1.757,0,3.145,8.887,8,8.459,0.495,215.356,84.589,-2.4492935982947064e-16,1.0,0.19920278909074227,98.0,high
